full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,county,town,vil
彰化縣和美鎮鐵山里,2110,2021-04-13 09:43:00,2021-04-13 09:43:00,12.3,12.3,12.3,1481194.641988626,彰化縣,和美鎮,鐵山里
彰化縣和美鎮頭前里,2171,2022-09-03 09:11:00,2022-09-03 09:41:00,5.3,19.5,13.35,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2168,2022-08-03 18:53:00,2022-08-03 20:03:00,6.4,25.5,19.275,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2164,2022-06-07 13:13:00,2022-06-07 14:33:00,8.0,25.8,19.3625,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2161,2022-05-26 17:59:00,2022-05-26 20:59:00,5.0,29.0,21.773684210526316,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2159,2021-08-07 06:37:00,2021-08-07 10:27:00,5.0,13.9,10.970833333333333,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2162,2022-05-27 06:54:00,2022-05-27 11:14:00,5.8,25.4,19.874074074074073,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2154,2021-08-01 04:30:00,2021-08-01 09:20:00,5.1,20.3,12.393333333333334,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2147,2021-05-30 16:07:00,2021-05-30 16:07:00,18.2,18.2,18.2,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2146,2021-05-30 05:54:00,2021-05-30 09:14:00,5.8,31.2,21.516666666666666,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2117,2019-10-23 11:55:00,2019-10-23 12:05:00,18.1,23.2,20.65,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣和美鎮頭前里,2155,2021-08-02 03:49:00,2021-08-02 11:59:00,4.1,18.2,12.136734693877552,1461692.3721874065,彰化縣,和美鎮,頭前里
彰化縣員林市南平里,2229,2021-06-21 06:12:00,2021-06-21 12:12:00,5.6,66.0,42.96551724137931,846010.6850267571,彰化縣,員林市,南平里
彰化縣員林市南平里,2172,2019-10-25 11:53:00,2019-10-25 12:53:00,29.2,38.3,36.957142857142856,846010.6850267571,彰化縣,員林市,南平里
彰化縣員林市南平里,2226,2021-04-22 09:33:00,2021-04-22 09:56:00,12.8,13.4,13.100000000000001,846010.6850267571,彰化縣,員林市,南平里
彰化縣員林市南平里,2227,2021-05-30 08:42:00,2021-05-30 09:07:00,16.7,18.3,17.5,846010.6850267571,彰化縣,員林市,南平里
彰化縣員林市南平里,2228,2021-06-05 18:50:00,2021-06-05 19:20:00,6.3,26.3,17.119999999999997,846010.6850267571,彰化縣,員林市,南平里
彰化縣員林市南平里,2230,2021-08-03 16:33:00,2021-08-03 18:03:00,5.3,20.9,15.8125,846010.6850267571,彰化縣,員林市,南平里
彰化縣員林市和平里,2233,2019-10-23 16:26:00,2019-10-23 16:36:00,30.7,30.9,30.799999999999997,261819.477435889,彰化縣,員林市,和平里
彰化縣員林市東北里,2235,2019-10-23 13:26:00,2019-10-23 13:26:00,23.2,23.2,23.2,3221836.1919408813,彰化縣,員林市,東北里
彰化縣員林市東北里,2262,2021-04-20 14:44:00,2021-04-20 14:44:00,15.5,15.5,15.5,3221836.1919408813,彰化縣,員林市,東北里
彰化縣員林市東北里,2263,2021-06-21 10:09:00,2021-06-21 10:49:00,6.2,20.0,15.36,3221836.1919408813,彰化縣,員林市,東北里
彰化縣員林市鎮興里,2267,2019-10-23 12:05:00,2019-10-23 13:05:00,20.1,38.3,35.68571428571428,1113081.8254584775,彰化縣,員林市,鎮興里
彰化縣埔心鄉東門村,2286,2021-06-21 08:44:00,2021-06-21 18:44:00,5.1,23.5,19.0,1494054.2205379545,彰化縣,埔心鄉,東門村
彰化縣埔心鄉羅厝村,2288,2019-10-23 10:30:00,2019-10-23 10:40:00,10.9,37.4,24.15,1646398.789094293,彰化縣,埔心鄉,羅厝村
彰化縣埔鹽鄉太平村,2299,2021-04-16 16:17:00,2021-04-16 16:17:00,10.2,10.2,10.2,3822175.6513271164,彰化縣,埔鹽鄉,太平村
彰化縣埔鹽鄉太平村,2300,2021-08-03 12:29:00,2021-08-03 17:59:00,12.7,13.0,12.897058823529411,3822175.6513271164,彰化縣,埔鹽鄉,太平村
彰化縣大城鄉三豐村,2319,2022-06-08 13:44:00,2022-06-09 01:04:00,0.1,22.4,12.746031746031745,16890777.9399663,彰化縣,大城鄉,三豐村
彰化縣大城鄉三豐村,2317,2021-08-09 11:38:00,2021-08-09 16:37:00,4.0,18.6,12.074193548387097,16890777.9399663,彰化縣,大城鄉,三豐村
彰化縣大城鄉三豐村,2316,2021-08-06 03:24:00,2021-08-06 16:34:00,6.1,54.8,43.1515625,16890777.9399663,彰化縣,大城鄉,三豐村
彰化縣大城鄉三豐村,2315,2021-08-01 02:30:00,2021-08-03 05:00:00,4.0,20.0,11.583168316831683,16890777.9399663,彰化縣,大城鄉,三豐村
彰化縣大城鄉三豐村,2309,2021-02-11 12:13:00,2021-02-12 23:53:00,5.9,13.2,12.007441860465116,16890777.9399663,彰化縣,大城鄉,三豐村
彰化縣大城鄉三豐村,2312,2021-06-22 11:36:00,2021-06-22 14:36:00,5.0,17.7,13.357894736842105,16890777.9399663,彰化縣,大城鄉,三豐村
彰化縣大城鄉三豐村,2311,2021-06-05 19:55:00,2021-06-06 16:55:00,5.6,18.7,13.957894736842105,16890777.9399663,彰化縣,大城鄉,三豐村
彰化縣大城鄉三豐村,2313,2021-06-28 05:20:00,2021-06-28 12:20:00,6.7,18.4,10.876744186046512,16890777.9399663,彰化縣,大城鄉,三豐村
彰化縣大城鄉東港村,2367,2022-06-08 16:48:00,2022-06-08 21:08:00,5.0,12.7,10.582142857142857,2523067.1195839355,彰化縣,大城鄉,東港村
彰化縣大城鄉東港村,2364,2021-08-06 08:48:00,2021-08-07 07:10:00,4.3,41.4,22.63942857142857,2523067.1195839355,彰化縣,大城鄉,東港村
彰化縣大城鄉東港村,2363,2021-07-29 00:59:00,2021-07-29 08:29:00,4.4,12.3,10.515217391304347,2523067.1195839355,彰化縣,大城鄉,東港村
彰化縣大城鄉東港村,2357,2021-04-15 14:13:00,2021-04-15 14:13:00,12.0,12.0,12.0,2523067.1195839355,彰化縣,大城鄉,東港村
