full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,estimated_damage,estimated_damage_adjusted
桃園市桃園區大樹里,10472,2022-05-23 17:00:00,2022-05-23 17:00:00,100.0,100.0,100.0,1213573.417014868,202496860.3631009,9134975283.86007
桃園市桃園區大豐里,10515,2020-08-27 13:55:00,2020-08-27 16:10:00,100.0,100.0,100.0,231824.33794513837,38682209.029525794,1745019763.645761
桃園市桃園區寶民里,10523,2020-08-27 14:00:00,2020-08-27 16:10:00,76.0,77.0,76.84615384615384,135965.7522771438,19574374.37178394,883033078.9457189
桃園市桃園區寶民里,10530,2022-05-23 17:00:00,2022-05-23 17:00:00,100.0,100.0,100.0,135965.7522771438,22687245.424964216,1023459948.1902896
桃園市桃園區忠義里,10652,2022-05-23 17:00:00,2022-05-23 17:00:00,61.0,61.0,61.0,406443.0335761187,52145340.59010858,2352364360.637304
桃園市桃園區忠義里,10658,2022-06-28 11:15:00,2022-06-28 11:15:00,95.0,95.0,95.0,406443.0335761187,65809630.22451083,2968783537.991202
桃園市桃園區文化里,10678,2022-05-23 17:00:00,2022-05-23 17:00:00,89.0,89.0,89.0,144476.7438443132,22535944.830416277,1016634522.9014708
桃園市桃園區春日里,10711,2022-06-28 11:15:00,2022-06-28 11:15:00,74.0,74.0,74.0,488566.1477911814,68961698.0401026,3110978639.3712945
桃園市桃園區會稽里,10712,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,190047.8702617315,30395952.293068923,1371212731.0452414
桃園市桃園區玉山里,10979,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,838339.1428447891,139885269.3750815,6310460695.667793
桃園市桃園區玉山里,10973,2022-05-23 17:00:00,2022-05-23 17:00:00,95.0,95.0,95.0,838339.1428447891,135740520.65285686,6123484082.462821
桃園市桃園區福元里,10996,2020-08-27 14:00:00,2020-08-27 16:15:00,75.0,76.0,75.8,249904.24379978876,35719073.466717355,1611347715.1979704
桃園市桃園區福元里,10999,2022-05-23 17:00:00,2022-05-23 17:00:00,100.0,100.0,100.0,249904.24379978876,41699022.12043276,1881113296.0197687
桃園市桃園區龍壽里,11514,2022-05-23 17:00:00,2022-05-23 17:00:00,94.0,94.0,94.0,730652.548280928,117581868.76771456,5304316635.3154745
桃園市桃園區龍安里,11604,2022-05-23 17:00:00,2022-05-23 17:00:00,90.0,90.0,90.0,815550.0943538408,128018529.4109111,5775132019.073435
桃園市桃園區龍安里,11607,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,815550.0943538408,136082688.74388188,6138919862.794597
